Company Name,Address,Country,Website Address,Product name,Email Id,Contact ,Remark,Contact Name  ,COMMENTS ,29.7.2023,31.07.2023,1.08.2023,2.08.2023,3.08.2023,4.08.2023,5.08.2023,7.08.2023,8.823,,10.8.2023,14.08.2023,16.08.23,18.8.23,23.8.23
VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,
Huynh gia corp,"VINH YEN HAMLET, LONG DUC VILLAGE, TRA VINH CITY, TRA VINH PROVINCE, VIETNAM",Vietnam ,http://www.huynhgiacorp.com/,fresh fruits/frozen fruits,info@huynhgiacorp.com/huynhgiacorp2014@gmail.com,84 939871811,,Mr Jade,EMAIL SENT BUT NO RESPONSE ,reminder sent,reminder sent,,,,,,no response ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NHP FOODS (Global Gap),"1A30 Vu Tong Phan Street, An Phu Ward, Districts2 , Ho Chi Minh City, Vietnam ",Vietnam ,https://nhp.com.vn/,Fresh fruit/ dried fruit/frozen fruit,nhpfoods@gmail.com / Mr Hoa --nhpdriedfruit@gmail.com ,84 947 986 056,,Mr Hoa (Oscar),"EMAIL SENT BUT NO RESPONSE, Ma'am called up and given email id but no response   ",reminder sent on whats app,reminder sent,,,given contact to Ma'am for again calling ,"today got whats reply tt what kind of mango you are looking for, I asked him to send catalog for selection",,whats message received saying what kind mangoes you are looking for so ask him to send catalog for selection,sent fruit selection on whatsapp  ,,,today sent whatsapp message for call  ,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VIET KHANH FOOD COMPANY LIMITED,"No. 314, Ho Thi Huong Street, KP5, Xuan An Ward, City. Long Khanh, Dong Nai Province, Vietnam",Vietnam ,http://www.vikafoods.com/,fresh fruit/frozen frui,vikafoods@gmail.com,84 983 028 718,,,"EMAIL SENT BUT NO RESPONSE, TRIED TO CALL  BUT NO RESPONSE  ",reminder sent,reminder sent,,,,,,no response ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
THAILAND,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay Oriental Foods,98 / 47 MOO 2 RANGSIT NAKHON NAYOK RDBOONGNAMRAKTHANYABURIPATHUMTHANI12110,Thailand,https://bluejayorientalfoods.com/,info@bluejayorientalfoods.com / matt@bluejayorientalfoods.com,info@bluejayorientalfoods.com / matt@bluejayorientalfoods.com,66 21501735,,Mr Matt ( Export Person),"EMAIL SENT BUT NO RESPONSE, MA'AM CALLED UP AND GIVEN ME MR MATT EMAIL ID BUT NO RESPOSE",reminder sent,reminder sent,reminder sent,,,,,try to connect thru whatapp but no reply,,,final calling list given to Ma'am,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Thai Agronomy Product co ltd ,"117/4, Aphakon Village 3, Salaya, Nakhon Pathom, Thailand",Thailand ,http://www.thaiagronomy.com/,Fruits,thaiagronomy@gmail.com,whats 66 617608722 ,,Mr Anubhav,EMAIL SENT BUT NO RESPONSE ,,,email sent ,,,,,try to connect thru whatapp but no reply,,,received reply for interested product and destinatioin port ,reminder sent for prices ,reply received and sent email for price and fob ,reply received  tt they  deal with Carrefour in Dubai and Oman.and sent email for price and fob ,"now available only coconut, prices received for fresh coconut"
,,,,,,,,,,,,,,,,,,,,,,,,
"Tropical Green Co., Ltd.","Jom Thong, Bangkok 10150 Thailand.",Thailand,https://www.tgfresh.com/,Fresh Mango/Fruits,sale@thetropicalgreen.com,662 874 3688-90,,"Surasak Suthithanamas,","prices received for Mango, after that no reply, whatsapp message try but no resp  ",reminder sent,replied received need to check catalogue,Prices received and wanted to check Europe certifications ,whats app message sent but no response ,"today got reply for another destination as rotterdam not working from Bankok,. Replied for Hamburg",,"don’t have global gap so not possible to work unfortunelty, also not ready to do the future certifications",,,,,,,,
PUERTO RICO,,,,,,,,,,,,,,,,,,,,,,,,
