INACTIVE SUPPLIERS  |  257 RECORDS,,,,,,,,,,,
Company Name,Product Category,Product,Country,Account Manager,Current Status,Certifications,Latest Quotation,Reason Inactive,Date Marked Inactive,Reactivation Potential,Notes
GUSTON,Apparels,APPAREL,SRI LANKA,Vandana,,,,,,,
ROSSLI HOLDING,Apparels,APPAREL,SRI LANKA,Vandana,,,,,,,
ARCHID GROUP,Apparels,APPAREL,MYANNMAR,,,,,,,,
ANOWARA GROUP,Apparels,Apparels,Bangladesh,Vandana,Supplier Response Awaited,"Anowara Group, Bangladesh",,,,,
EVE Group,Apparels,Apparels,Bangladesh,Vandana,Supplier Response Awaited,certifications not received,,,,,
Posh Garments,Apparels,Apparels,Bangladesh,Vandana,Supplier Response Awaited,certifications not received,,,,,
PLUMMY FASHION LIMITED,Apparels,Apparels,Bangladesh,Vandana,Supplier is awaiting order or Website prior to signing,certifications not received,,,,,
"QUANZHOU MEISHANG TEXTILE CO., LTD.",Apparels,Apparels,China,Vandana,Supplier is awaiting order or Website prior to signing,"Quanzhou Meishang Textile Co., Ltd., China",,,,,
Alliance Knit,Apparels,Apparels,Bangladesh,Vandana,CLOSED,Certifications not received,,,,,
QINGDAO LONGDE TEXTILE,Apparels,Apparels,China,Vandana,CLOSED,Certifications not received,,,,,
Guru Tex,Apparels,Apparels,India,Vandana,,,Discussion going on with buyer team for certification and high price,,,,
Sky Cotex India Pvt Ltd,Apparels,Apparels,India,Vandana,,,Discussion going on with buyer team for certification and high price,,,,
Peanuts Comapny of Australia,Peanuts,Peanuts,,Peanuts,,,,,,,
Macnuts,Macadamia Nuts,Macadamia Nuts,,,,,,,,,
SARVESHWAR FOOD,Rice,Basmati Rice,India,Vandana,Supplier is awaiting order or Website prior to signing,Sarveshwar Foods,,,,,
MAHARANI RICE( Chaman Lal Setia Exports Ltd ),Rice,Basmati Rice,India,Vandana,CLOSED,"Chaman Lal Setia, India",,,,,
JANKI DAS RICE MILL,Rice,Basmati Rice,India,Vandana,CLOSED,,,,,,
GRM Rice,,Basmati Rice (1121 Steam),India,,,,,,,,
ENSE LTDA,"QUINOA AND CHIA SEEDS, GERMANY",Organic quinoa and chia seeds,,Organic quinoa and chia seeds,,,,,,,
Koka Foods,"Broken Rice, Malaysia",Broken Rice,Vietnam,Vandana,,,,,,,
GRM Rice,"Broken Rice, Malaysia",Broken Rice,India,Vandana,,,,,,,
Nature Pearl Pvt Ltd,"Broken Rice, Malaysia",Broken Rice,,Vandana,,,,,,,
Sarveshwar Food,"Broken Rice, Malaysia",Broken Rice,,Vandana,,,,,,,
Ake Rice Mill,"Broken Rice, Malaysia",Broken Rice,Thailand,Vandana,,,,,,,
Prosi Joint Stock Company,Dried fruits and Cashew Nuts,Cashew,Vietnam,Bevly,CLOSED,"Prosi Thang Long, Vietnam",,,,,
Afri Venture,"Cashew, Jebel Ali",Cashew,South Africa,Vandana,,,,,,,
SVC Group,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
VILACONIC GROUP,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
Gold cashew,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
Sunrise Inc,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
Lata Farm Cashews - Lata Farm Company Limited,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
Agrinuts Vietnam,"Cashew, Jebel Ali",Cashew,Vietnam,Vandana,,,,,,,
SOUTHLAND GLOBAL AGRICULTURE,"Cashew, Germany and Middle East",Cashew(W320),Côte d'Ivoire,Vandana,,,,,,,
SUNRISE NEW INTERNATIONAL GROUP LIMITED,INSTANT NOODLES,China,,INSTANT NOODLES,,,,,,,
Best Garment Group,Garments,China,,Garments,,,,,,,
Nulatex,Condom,Condom,Malaysia,Vandana,CLOSED,,,,,,
"Cupid Ltd, India",Condom,Condom,India,Vandana,CLOSED,,,,,,
ECOANDINO S.A.C.,"Organic Quinoa/Chia seeds , Germany",Conventional Quinoa,Peru,Vandana,,,,,,,
Colorexa S.A.C.,"Organic Quinoa/Chia seeds , Germany",Conventional Quinoa,Peru,Vandana,,,,,,,
CAMINO ANDINO S.A.C,"Organic Quinoa/Chia seeds , Germany",Conventional Quinoa,Peru,Vandana,,,,,,,
ECOCAJOU,"Cashew, Germany",Cashew(W320),,Cashew(W320),,,,,,,
Southland Southland Global Agriculture,"Cashew, Germany",Cashew(W320),,Cashew(W320),,,,,,,
SONATA,"Cashew, Germany",Cashew(W320),,Cashew(W320),,,,,,,
Altin JM Group s.r.o,INSTANT NOODLES,INSTANT NOODLES,,INSTANT NOODLES,,,,,,,
Instantia Costa Rica S.A,Sugar,Dried Fruits,Costa Rica,Bevly,Supplier Response Awaited,certifications not received,,,,,
F&G FOOD VIETNAM,Dried fruits and Cashew Nuts,Dried fruits and Cashew Nuts,Vietnam,vandana,,IFS,,,,,
"Proquinoa S.A.S,",,Conventional Quinoa,,Conventional Quinoa,,,,,,,
Integrated Trading Colors,Food Additives,Food Colors,India,Bevly,Supplier is awaiting order or Website prior to signing,certifications not received,,,,,
CRIMASA,Frozen Shrimp,Frozen Shrimp,Ecuador,VANDANA,,,,,,,
DCAMSA,Frozen Shrimp for Lidl,Frozen Shrimp,Manabí.,VANDANA,,,,,,,
KIPCO-DAMACO NV,Frozen Shrimp for Lidl,Frozen Shrimp,BELGIUM,VANDANA,,,,,,,
SONGA,Frozen Shrimp,Frozen Shrimp,Ecuador,VANDANA,,,,,,,
Promarisco Sa,Frozen Shrimp,Frozen Shrimp,Ecuador,VANDANA,,,,,,,
EXPALSA,Frozen Shrimp,Frozen Shrimp,Ecuador,VANDANA,,,,,,,
OMARSA,Frozen Shrimp Poland,Frozen Shrimp,Ecuador,VANDANA,,,,,,,
Thong thuan Seafood,Frozen Shrimp for Poland,Frozen Shrimp,Vietnam,VANDANA,,,,,,,
PescaFresh   Devi Fisheries.,Seafood,Frozen Shrimps,India,Vandana,"Contract Sent, Discussions",Certifications not received,,,,,
Avanti Frozen Foods,Seafood,Frozen Shrimps,India,Vandana,"Contract Sent, Discussions",Certifications not received,Final Shrimp  Specifications.xlsx,,,,
B-One,Seafood,Frozen Shrimps,India,Vandana,,,,,,,
Patagonia Fresh,fruit purees,fruit purees,Chile,vandana,,0,,,,,
Thai Son,Garments,Garments,Vietnam,Vandana,,,,,,,
"Sree Angalamman Exports, India",Home tex,Home tex,India,Vandana,,,,,,,
Trisa Exports Private Limited,Home tex,Home tex,India,,,,,,,,
Trident,Home tex,Home tex,India,Vandana,,,,,,,
L.S. Mills Limited Madeups Unit,Home tex,Home tex,India,,,,,,,,
"Hangzhou Grandhome Textile Co.,Ltd, China",Home tex,Home tex,China,Vandana,,,,,,,
Laks Tex,Home tex,Home Textiles,India,Vandana,,,Discussion going on with buyer team for certification and high price,,,,
"Ningbo Y.F.Import&Export Co.,Ltd",Home tex,Home Textiles,CHINA,Vandana,CLOSED,Ningbo Y. F. Import & Exports Ltd. China,,,,,
Joshi Agrochem Pharma Pvt. Ltd.,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Gujarat State Fertilizers & Chemicals Ltd.,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Chambal Fertilisers and Chemicals Ltd.,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Coromandel International Limited,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Deepak Fertilisers and Petrochemicals Co. Ltd.,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Rama Phosphates Limited,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Indian Farmers Fertilisers Cooperative Limited,Urea/Fertiliser,Urea/Fertiliser,,Urea Specs and Other Details,,,,,,,
Kalya  Exports,"Fresh Fruits and Vegetables, Germany",Fresh Fruits and Vegetables,,Fresh Fruits and Vegetables,,,,,,,
Nuflower foods,"Peanut Butter, Germany",Peanut Butter,,Peanut Butter,,,,,,,
Asian Fabric Private Limited,,Home tex,,Home tex,,,,,,,
AKSARA APPRALES,,Home tex,,Home tex,,,,,,,
DAS Superfoods Private Limited,,Peanut Butter,,,,,,,,,
Sonya Foods,,Peanut Butter,,,,,,,,,
Nutrionex Foods,,Peanut Butter,,,,,,,,,
GSHOOTS,"Mango, Euricom",Fresh fruits and vegetables,,Fresh fruits and vegetables,,,,,,,
Next On Foods,"Mango, Euricom",Fresh fruits and vegetables,,Fresh fruits and vegetables,,,,,,,
Super Plum,"Mango, Euricom",Fresh fruits and vegetables,,Fresh fruits and vegetables,,,,,,,
SRG Apparels Limited,Garments,Garments,,Garments,,,,,,,
PT Indofood Sukses Makmur Tbk,INSTANT NOODLES,INSTANT NOODLES,,INSTANT NOODLES,,,,,,,
Armani Foods,"Dried Fruits, Middle East",Dried Fruits,,Dried Fruits,,,,,,,
Ake Rice,Jasmine Rice,Jasmine Rice,Vietnam,Vandana,,,,,,,
SUNRISE FOOD,"Jasmine Rice, Germany",Jasmine rice,,Vandana,,,,,,,
VILACONIC GROUP,"Jasmine Rice, Germany",Jasmine rice,,Vandana,,,,,,,
Rim Agriculture Services Limited,,Fresh Fruits and Vegetables,Kenya,Fresh Fruits and Vegetables,,,,,,,
VERT LTD,,Fresh Fruits and Vegetables,,Fresh Fruits and Vegetables,,,,,,,
Privamnuts EPZ Kenya Limited,,Macadamia Nuts,,Macadamia Nuts,,,,,,,
Ngong Veg (EPZ) Limited,"Fresh Fruits and Vegetables, Germany",Fresh Fruits and Vegetables,,Fresh Fruits and Vegetables,,,,,,,
SASINI FRUITS & NUTS EPZ KENYA LTD,"Macadamia Nuts, Germany",Macadamia Nuts,,Macadamia Nuts,,,,,,,
Batian Nuts Limited,"Macadamia Nuts, Germany",Macadamia Nuts,,Macadamia Nuts,,,,,,,
BEC,Fruits Concentrates,Orange juice Concentrate,INdia,,,,,,,,
"TIANJIN WANHUI BIOTECHNOLOGY CO .,LTD",Fruits Concentrates,Orange juice Concentrate,China,vandana,,,,,,,
Nice Pal - Jackie,Fruits Concentrates,Orange juice Concentrate,China,vandana,Initial Checklists/ Discussions,"Hainan Nicepal Industry CO.,Ltd",,,,,
"CHINA KUNYU INDUSTRIAL CO.,LIMITED",Fruits Concentrates,Orange juice Concentrate,China,vandana,,,,,,,
AL SHAMS AGRO GROUP,Fruits Concentrates,Orange juice Concentrate,Egypt,,CLOSED,Certifications not received,,,,,
Magalies,Fruits Concentrates,Orange juice Concentrate,South Africa,,CLOSED,Certifications not received,,,,,
Granor Passi,Fruits Concentrates,Orange juice Concentrate,South Africa,,CLOSED,Certifications not received,,,,,
El Marwa,Fruits Concentrates,Orange juice Concentrate,Egypt,,CLOSED,Certifications not received,,,,,
Oviedo Group,"Organic Quinoa/Chia seeds , Germany",Organic Chia Seeds/Quinoa,Paraguay,Vandana,,,,,,,
Abunda S.A,"Organic Quinoa/Chia seeds , Germany",Organic Chia Seeds/Quinoa,Paraguay,Vandana,,,,,,,
LA MISERICORDIA S.A.,"QUINOA AND CHIA SEEDS, GERMANY",Chia Seeds,,Chia Seeds,,,,,,,
Glister,"Peanut Butter , Germany",Peanut Butter,India,Vandana,,,,,,,
AGROCROPS,Dried fruits and Cashew Nuts,Peanuts,India,Vandana,CLOSED,Certifications not received,,,,,
HT NUTS,"Peanuts, Germany",Peanuts,Argentina,Vandana,,,,,,,
INSIGHT FOODS,Peanuts Butter,PEANUTS BUTTER,INDIA,VANDANA,,,,,,,
ORGANIC RAINFOREST SAC,Organic Cacao and Chocolate products,Organic Cacao and Chocolate products,,Organic Cacao and Chocolate products,,,,,,,
PERUVIAN NATURE,Super Food,Super Food,,Super Food,,,,,,,
Agro Fergi SAC,,Conventional Quinoa,,Conventional Quinoa,,,,,,,
"Jiangsu Sidefu Textile Co.,Ltd",Sport Merchandise,Rally Towel,China,Vandana,Price and Commission Discussion,"Jiangsu Sidefu, China",,,,,
SH SOFTEX _ Ella,Sport Merchandise,Rally towel,China,Vandana,Initial Checklist,Certifications not received,,,,,
Baoquantex- Owen,Sport Merchandise,Rally towel,China,Vandana,Initial Checklist,Certifications not received,,,,,
Zhengheng (Kevin),Sport Merchandise,Rally towel,China,Vandana,Initial Checklists/ Discussions,Certifications not received,,,,,
"Hangzhou Nonwoven Supply Limited/Hangzhou Source Nonwoven Co.,Ltd",Sport Merchandise,Rally towel,China,,,,,,,,
