Date,Task,Company,Priority,Owner,Status,Deadline,Notes
,Send email to LinkedIn Candidates - Rejected,EEC,Medium,Mohita Vadrevu,Completed,7/16/2025,
,Send email to Kshama asking for details,EEC,Medium,Mohita Vadrevu,Completed,7/16/2025,
,Business License to be sent to Vandana,EEC,Urgent,Mohita Vadrevu,Completed,7/16/2025,
,BSA Review,EEC,Medium,Shirali,In progress,7/16/2025,
,Share Deposit details to Joshi Ji,Fresh Food Company,Medium,Mohita Vadrevu,Completed,7/16/2025,
,Electricity Bill payment - We need to pay it,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,7/15/2025,Akshay to share payment receipt
,Share EA/PA Job Role with Shirali for Marylin,EEC,Urgent,Mohita Vadrevu,Completed,7/16/2025,
,send reminder emails to companies for Mood enhancing chocolate,EEC,Urgent,Mohita Vadrevu,Completed,7/28/2025,
7/28/2025,Email draft for Johannes,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Email draft for Asad,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Email draft for Krushna and sent,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Updated task tracker sheet for 24th July- 28th July 2025,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Updated Buyer and supplier sheet --- daily updates,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Call with Ma;am 11am - 12pm,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Call with Krushna farmer,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,Call with Madan,EEC,Urgent,Vandana,Completed,7/28/2025,
7/28/2025,New supplier sourcing work,EEC,Urgent,Vandana,In progress,7/28/2025,
7/28/2025,Coordination with Vinoax for sgned agreement,,Urgent,Vandana,Completed,7/28/2025,
7/29/2025,Electricity Bill payment - We need to pay it,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,7/15/2025,
7/29/2025,Rework on Catalogs,EEC,Urgent,Mohita Vadrevu,In progress,7/29/2025,
7/29/2025,Things to take to Singapore,EEC,Urgent,Mohita Vadrevu,Completed,7/29/2025,
7/29/2025,Follow up email to fruits supplier - Grapes - total 13,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Follow up email to fruits supplier - Avocados - total 10,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,"Sourced new suppliers for fresh fruits and vegetables - total 10, saved supplier data in sheet",EEC,Urgent,Vandana,In progress,8/1/2025,
7/29/2025,Introduction email sent to fresh fruits and vegetables suppliers -- total 10,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,saved Privam nuts BRC saved in drive,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Veera second quote excel saved in drive,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Updated checklist of Vinaox,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,coordination with Lina for Vinarice signed contract copy,EEC,Urgent,Vandana,In progress,7/29/2025,
7/29/2025,Revised contract to send Vinaox,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Updated Supplier & Buyer List and Status,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,"Follow up email to Dongguan Uga Fashion Co.,Ltd",EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Follow up email to Kyneton Biscuit Group for signed contract,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Follow up email to Guangzhou Sunyoung Garments Co Ltd,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Shubham Peanut butter attachement saved in drive,EEC,Urgent,Vandana,Completed,7/29/2025,
7/29/2025,Updated email tracking sheet,EEC,Urgent,Vandana,Completed,7/29/2025,
,,,,,,,
7/30/2025,add all shirali's Links,EEC,Urgent,Mohita Vadrevu,Not started,7/31/2025,To be completed by tommorrow
7/30/2025,Water Bill for Kitchen,EEC,Urgent,Mohita Vadrevu,Completed,7/30/2025,
7/30/2025,Coordinate with Anne for Shirali's meeting,EEC,Urgent,Mohita Vadrevu,Completed,7/30/2025,
7/30/2025,Rework on Catalogs,EEC,Urgent,Mohita Vadrevu,Completed,7/30/2025,
7/30/2025,Drive work- Update supplier and Buyer status sheet,EEC,Medium,Vandana,Completed,7/30/2025,
7/30/2025,Drive work- Update supplier docs saving,EEC,Medium,Vandana,Completed,7/30/2025,
7/30/2025,Drive work- Update Email tracking sheet,EEC,Medium,Vandana,Completed,7/30/2025,
7/30/2025,Drive work - Update Buyer listing,EEC,Medium,Vandana,Completed,8/1/2025,
7/30/2025,Drive work - Update Product listing,EEC,Medium,Vandana,Completed,8/1/2025,
7/30/2025,Follow-up work - Farmers connection thru Manjusha,EEC,Urgent,Vandana,In progress,8/1/2025,will send reminder on next week
7/30/2025,Follow up work- Vina rice contract sign,EEC,Urgent,Vandana,Completed,7/30/2025,completed
7/30/2025,Follow up work - Vinaox contract sign,EEC,Urgent,Vandana,In progress,8/1/2025,Contract under review
7/30/2025,Follow up work - Tom contract sign,EEC,Urgent,Vandana,In progress,8/1/2025,will send reminder next week
7/30/2025,Folow up work - Farmica contract sign,EEC,Urgent,Vandana,In progress,8/1/2025,email sent 31.7.25
7/30/2025,Follow-up work - Sarveshwar contract sign,EEC,Urgent,Vandana,In progress,8/1/2025,
7/30/2025,Follow up work - Kemet farm email respond to buyer,EEC,Urgent,Vandana,In progress,8/1/2025,message sent 31.7.25
