"RAW CONSOLIDATED BACKUP  |  5,864 RECORDS  |  All source data preserved",,,,,,,,
Company Name,City,Country,Email,Website,Product Category,Certifications,Full Address,Products
"""Pooppally Coir Mills """,,India,,,Household Textiles,,"AS Road, Alappuzha, Kerala, INDIA",
(Great Foodz),,India,ceocares@gr8foodz.com,www.GR8foodz.com,Chick Peas,,,"Sea food, poultry, meat products, masalas, 
frozen products, ready to cook, exotic"
1to3 Foods Ltd.,,India,customercare@1to3foods.com,LINK,Snacks and Sweets Expo in Dubai,,,Instant Noodles
A M Fisheries,,India,,website not available,Shrimps,,,
A-1 Overseas,,,info@a1overseas.com /a1a.overseas@gmail.com,https://www.a1overseas.com/,WHITE CORN MAIZE,,,
A-Sha,,Taiwan,customercare@ashadrynoodle.com,https://ashadrynoodle.com/,Instant Noodles,,,Instant Noodles
A. M. Hygiene,,India,sales@amhygiene.co.in,TradeIndia listing,alcohol wipes,,,Manufacturer/supplier; custom orders possible
A. P. Organics Ltd.,,India,info@ricela.com,https://ricela.com/about-us-2/,Rice list,,,Rice Bran Oil
A.M. Fisheries,,India,amfish2012@gmail.com,no website,Frozen Shrimps,,,Shrimp
A.S Cashew Exporters,,,,,Cashew supplier for Middle Eas,,,
AAA GROWERS LTD.,,Kenya,sales@aaagrowers.co.ke,https://www.aaagrowers.co.ke/,Macadamia Nut jan 25,,,
Aadhi Cashews Foods,,,11.11.24 - intro email sent,,Cashew supplier for Middle Eas,,,
AADHYA ORGANIC HERBS PRIVATE LIMITED,,India,,herbs and spices,Pulses,,,Food
Aaha Impex,,India,,,Pulses and Lentils,"Aaha Impex, India",,Red Lentils
AAHA IMPEX PVT. LTD.,,India,"info@aahaimpex.com, neha@aahaimpex.com",https://www.aahaimpex.in/,Pulses,,,Food
AAKAR EXPORTS,,,kavitapadia@hotmail.com,https://www.aakarexports.net/,Ground Spices,,RAJASTHAN,
aanutts,,,11.11.24 - intro email sent,,Cashew supplier for Middle Eas,,,
Aarana Textile,,,sourcing@aarnatextile.com,https://aarnatextile.com/,Medical Uniform,,,
AARAX FOODSTUFF CO L.L.C,DUBAI,UAE,,,Dried Fruits,Food,,
AARNA TEXTILE,,,,,,,,India
Aarna Textile Export,,India,sourcing@aarnatextile.com,https://aarnatextile.com/#capacity,Hospital  Textiles,,,Hospital Uniforms
Aarneea Foods LLP,,India,,,Peanuts and Peanut Butter,,,Peanuts and Peanut Butter
"Aarneea Foods, India",,India,,,,13.10.25 Np reply from buyer,,
