"YEAR-WISE SUPPLIER LOG  |  5,493 RECORDS  |  Full Historical Traceability",,,,,
Supplier ID,Company Name,Year,Status,Source Sheet,Notes
SUP-04247,Trophy Foods Inc. - Calgary,2026,Active,2026_Dried_Fruits,
SUP-01854,Harry Goesten VOF,2026,Active,2026_Dried_Fruits,
SUP-04099,TEVAZU GIDA SAN.TİC.A.Ş.,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-01712,Gramas Gida San A.Ş.,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-04191,"Tianjin C.Y. Foods Co., Ltd.",2026,Active,2026_Dried_Fruits,
SUP-02505,"Longhai Juli Food Co., Ltd.",2026,Active,2026_Dried_Fruits,
SUP-02704,"Minor, Weir and Willis Limited - Altitude",2026,Active,2026_Dried_Fruits,
SUP-02601,"Mariani Packing Company,Inc.",2026,Active,2026_Dried_Fruits,
SUP-04062,Taj Food (Pvt.) Ltd.,2026,Active,2026_Dried_Fruits,
SUP-03151,P&B (Foods) Ltd,2026,Active,2026_Dried_Fruits,
SUP-04105,THABICO CONSUMER PRODUCTS JSC,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-01985,"Hylife Global Food Co., Ltd.",2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-02810,MWT Foods Pty Ltd,2026,Active,2026_Dried_Fruits,
SUP-03713,"Shandong Richfield Foodstuffs Co., Ltd.",2026,Active,2026_Dried_Fruits,
SUP-03352,"QINGDAO KINGER FOOD CO., LTD",2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-01254,DURUKAN ŞEKERLEME SAN. TİC. A.Ş.,2026,Active,2026_Dried_Fruits,
SUP-00981,"CHUZHOU UNITED FOOD CO.,LTD",2026,Active,2026_Dried_Fruits,
SUP-00884,CARIOCA FOOD SRL,2026,Active,2026_Dried_Fruits,
SUP-02450,Liberation Foods CIC,2026,Active,2026_Dried_Fruits,
SUP-03567,Saladine srl,2026,Active,2026_Dried_Fruits,
SUP-04576,"YANTAI MEIJIA FOODSTUFFS CO., LTD",2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-04238,TRANS-NUSS Sp. z o.o.,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-00971,Choconut B.V.,2026,Active,2026_Dried_Fruits,
SUP-01443,FEHMİ EROĞLU DIŞ TİCARET A.Ş.,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-03859,Società Italiana Prodotti Alimentari Hygeia S.r.l.,2026,Active,2026_Dried_Fruits,
SUP-01298,EGETAD GIDA SAN.VE TIC.A.S.,2026,Active,2026_Dried_Fruits,18.2.26 - Intro email sent
SUP-04212,TM TURKEY GIDA A.Ş,2026,Active,2026_Dried_Fruits,
SUP-01867,"Hebei Huaju Food Co., Ltd",2026,Active,2026_Dried_Fruits,
SUP-00865,CANAT KURUYEMİŞÇİLİK GIDA SAN. ve TİC. LTD. ŞTİ,2026,Active,2026_Dried_Fruits,
SUP-01509,"Franjuba Pan, S.L.",2026,Active,2026_Dried_Fruits,
SUP-04407,VIGRANA Sp. z o.o.,2026,Active,2026_Dried_Fruits,
SUP-02711,"MISOTA FOOD IMPORT EXPORT CO., LTD.",2026,Active,2026_Dried_Fruits,
SUP-03795,SIA ALIS Co,2026,Active,2026_Dried_Fruits,
SUP-02287,Kenya Nut Company Limited,2026,Active,2026_Dried_Fruits,
